bear#1,bear#2,time,low,est,high,sex,season_breeding,timestart,timestop,pair1_ess_before,pair2_ess_before,pair1_ess_after,pair2_ess_after
EVGM86,EVGF66,2021-05-21 0:00:12,82.89296589,90.2835042,97.82667546,F_M,other,2021-04-15 14:01:10,2021-09-15 6:00:58,1.7774154418186796,3.146798358733644,8.036128435259286,56.00467361125335
EVGM86,EVGF116,2022-08-23 16:00:29,58.61701591,230.7975187,459.4299176,F_M,other,2022-04-26 22:00:54,2022-09-25 17:01:08,4.715177130219425,12.14403680617592,5.335791352809181,10.368272423561562
EVGM86,EVGF73,2020-10-25 10:00:28,456.9984565,460.4347902,463.8774591,F_M,hunting,2020-10-18 2:00:10,2020-11-15 23:00:12,1.541986542871083,5.0878235984218945,12.043488402608617,1.2814442683258014
EVGM86,EVGF85,2018-10-18 6:00:00,28.54046242,28.54046308,28.54046375,F_M,hunting,2018-09-24 0:00:00,2018-12-15 6:01:00,2.7412584705444485,45.89270183374256,1.5320457728939934,21.960939137272003
EVGM86,EVGM52,2018-10-19 6:00:00,65.941479760000007,79.30083498,93.24584552,M_M,hunting,2018-09-24 0:00:00,2019-01-17 16:33:00,2.837856812054964,8.791742258476072,1.7170767628026071,21.14899099080824
EVGM86,EVGF115,2022-06-22 18:00:38,30.28329658,204.7751867,462.661799,F_M,breeding,2022-04-26 22:00:54,2022-09-25 11:00:44,3.59740754200951,14.38299113031104,4.145801182980297,27.836929264956307
EVGM86,EVGF91,2021-06-05 2:00:38,8.617112453,8.617112687,8.617112921,F_M,breeding,2021-04-03 0:00:35,2021-11-19 23:01:18,2.3572773382647245,6.6054004401333755,10.525749336426705,37.50385908510215
EVGM86,EVGF91,2022-05-11 16:00:35,388.7248088,389.9372727,391.1506668,F_M,other,2022-04-26 22:00:54,2022-09-25 16:00:21,1.482495048378371,4.337435940938153,4.953046994449349,2.2566323029256408
EVGM86,EVGM110,2020-10-03 6:00:00,53.19534954,60.785582839999996,68.61841859,M_M,hunting,2020-09-28 22:00:00,2020-12-23 4:10:00,3.9240262733568256,2.3332238050295357,27.163059932348062,22.96321218224314
EVGM86,EVGM110,2021-09-30 1:00:13,92.10243786,386.2345931,781.7441384,M_M,hunting,2021-09-22 23:00:14,2021-11-16 0:00:24,6.494760876497906,5.18074583340942,15.731209542921764,9.253060211066275
EVGM86,EVGM110,2022-09-10 2:00:11,50.32972033,279.2894013,604.7796389,M_M,hunting,2022-04-26 22:00:54,2022-09-25 17:00:20,5.242527641347663,21.301632220470104,12.12316931080066,1.8975244975432768
EVGM86,EVGM80,2020-10-18 18:00:00,388.7419823,391.9665985,395.197769,M_M,hunting,2020-09-28 6:00:00,2020-11-16 1:01:00,7.619577125932931,6.849410549566488,4.463035751164122,8.954759093813099
EVGM114,EVGF109,2021-10-16 3:00:22,42.04222014,199.3137425,416.0205342,F_M,hunting,2021-09-24 0:00:36,2021-11-15 23:00:37,3.3543911503874058,18.802354842865768,1.7711535241812808,26.94005017348885
EVGM114,EVGM110,2022-06-23 0:00:13,43.19579791,250.7041099,548.323903,M_M,breeding,2022-04-29 22:05:57,2022-09-25 16:00:19,4.779079511183494,9.93696497517225,11.485470864209484,14.90442966085
EVGM113,EVGF109,2021-10-17 11:00:38,47.10459703,47.29081211,47.47720817,F_M,hunting,2021-09-21 23:00:12,2021-11-18 0:00:59,7.576634221619456,24.363609994465687,2.436703021615337,24.867607943430883
