split,n,subset,threshold,p,low,est,high
before,32,diff sex late fall,500,0.0716430855907915,0.581606505336765,0.788683165267753,1.03131346909522
after,32,diff sex late fall,500,0.0716430855907915,0.704892216750202,1.15300378292209,1.73707941854964
before,9,female female,50,0.0536891749597251,0.206236658212811,0.355264446079347,0.544153370353932
after,9,female female,50,0.0536891749597251,0.434786250910977,0.577655612243398,0.740509629821142
before,11,female female,100,0.220271338386601,0.304683490716911,0.481370720655474,0.697814552652888
after,11,female female,100,0.220271338386601,0.44876607306523,0.589562636956821,0.749275491232924
before,21,female female,200,0.0575402688180164,0.548284556876455,0.763473970253954,1.01833338313628
after,21,female female,200,0.0575402688180164,0.462600025589725,0.572701744042288,0.69438047917442
before,24,female female,300,0.46628669637577,0.548855008952585,0.73940639433725,0.961766755408112
after,24,female female,300,0.46628669637577,0.551642388620542,0.727833393675792,0.932906407549207
before,28,female female,400,0.411351107853482,0.578244575093415,0.745683301237476,0.936492565824779
after,28,female female,400,0.411351107853482,0.551386709828164,0.716483717535447,0.906653403980254
before,31,female female,500,0.217903114196554,0.657265055816522,0.883369476405739,1.14953133677088
after,31,female female,500,0.217903114196554,0.607223493525776,0.768239003787363,0.951378469364778
before,15,late fall,50,0.0111460047193007,0.368912477611692,0.517108055669887,0.689935857358442
after,15,late fall,50,0.0111460047193007,0.588613679456983,0.937578363065468,1.3807557856388
before,26,late fall,100,0.00567650864924703,0.433815302575243,0.548632721867008,0.676726482573613
after,26,late fall,100,0.00567650864924703,0.638956604800554,0.870932138689344,1.14345965708729
before,38,late fall,200,0.0277221823871399,0.538715117079002,0.682580643174949,0.844793176524024
after,38,late fall,200,0.0277221823871399,0.699905670649507,0.996638761695278,1.35722097572248
before,46,late fall,300,0.0247885016394846,0.57554528840061,0.716764273543418,0.874938892659432
after,46,late fall,300,0.0247885016394846,0.749507381317558,1.01274270136115,1.32364485440854
before,53,late fall,400,0.0645560119747782,0.63351897483218,0.778833625372012,0.940887043602362
after,53,late fall,400,0.0645560119747782,0.757903699653096,0.999412270372455,1.28070517807188
before,56,late fall,500,0.127841317540548,0.664471171472598,0.835396992961383,1.02897678885104
after,56,late fall,500,0.127841317540548,0.775868062635812,1.01187291355232,1.28492977270576
before,1,male male,50,0.435356759723564,0.358512216728147,0.566014354249242,0.820134687069305
after,1,male male,50,0.435356759723564,0.00247859103729906,0.276019963096966,1.15161967205781
before,7,male male,100,0.159207628929956,0.370671545503924,0.537311593619098,0.734398725675148
after,7,male male,100,0.159207628929956,0.434591435249611,0.705257158899201,1.04038715683805
before,8,male male,200,0.163274705942112,0.369084373061594,0.533991775143405,0.72887518142554
after,8,male male,200,0.163274705942112,0.431930492150091,0.696124612968083,1.02234744714444
before,12,male male,300,0.17666663281508,0.378304073476059,0.522854788591913,0.690431033983522
after,12,male male,300,0.17666663281508,0.440151927930582,0.64877714997871,0.897233344822088
before,14,male male,400,0.12300444296435,0.430456090243933,0.584395919586087,0.761504454376107
after,14,male male,400,0.12300444296435,0.530037782372884,0.751324283810884,1.01060947817831
before,15,male male,500,0.136313505981996,0.435502368769916,0.58706951998571,0.760919957645178
after,15,male male,500,0.136313505981996,0.525067677732497,0.741671363415398,0.995095973017096
before,10,same sex,50,0.192335671370152,0.340264187408505,0.476861286180395,0.636150078382862
after,10,same sex,50,0.192335671370152,0.432593946812647,0.573549178380807,0.73407722003311
before,18,same sex,100,0.147392073720277,0.388922994305512,0.51456206298122,0.657516859020974
after,18,same sex,100,0.147392073720277,0.490992011232399,0.619570728282577,0.762877151813821
before,29,same sex,200,0.137030986329158,0.538282433805277,0.707260468814928,0.901582033808987
after,29,same sex,200,0.137030986329158,0.491548793881624,0.595474259018633,0.709217493288639
before,36,same sex,300,0.379848360777734,0.53372696824822,0.678281492753145,0.841762029876859
after,36,same sex,300,0.379848360777734,0.568277474534176,0.712679671981536,0.875481233539211
before,42,same sex,400,0.408853660612504,0.572840001188793,0.705334229566889,0.852675174260526
after,42,same sex,400,0.408853660612504,0.588445426583722,0.729271109568428,0.887008576434297
before,46,same sex,500,0.352246344797738,0.636305766489901,0.80980336195365,1.00753829373546
after,46,same sex,500,0.352246344797738,0.628114613256755,0.765577247486324,0.918348900791028
before,8,spring,50,0.288938209258581,0.337019687112236,0.577074719434374,0.880630302466593
after,8,spring,50,0.288938209258581,0.514011230680967,0.684598138699032,0.879253476557683
before,10,spring,100,0.256944523414656,0.335049933346539,0.554882709419042,0.82926662201227
after,10,spring,100,0.256944523414656,0.505625358877856,0.669475333560452,0.855968819866306
before,16,spring,200,0.411245310606462,0.487167849856832,0.660497766454654,0.85979979973123
after,16,spring,200,0.411245310606462,0.498619480836526,0.635126545330451,0.787899372692997
before,23,spring,300,0.473329383322222,0.637310073211466,0.802250279315971,0.985885593827668
after,23,spring,300,0.473329383322222,0.631387275340405,0.810490444234489,1.01559937450045
before,23,spring,400,0.473329408732971,0.637310073211466,0.802250279315971,0.985885593827668
after,23,spring,400,0.473329408732971,0.631387271871916,0.810490435782323,1.01559935977015
before,24,spring,500,0.476974811774779,0.636150004749157,0.798291994367261,0.978562749060503
after,24,spring,500,0.476974811774779,0.62749763383834,0.805155588199093,1.0084440087466
